0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94
-0.063;0.012;-0.001;0;0;0;0;0;0;-0.056;0.038;-0.102;-0.056;0.049;-0.097;0;0;0;0;0;0;0.478;0.057;-0.103;0.999;0.382;0.213;0.15;0;0.532;0.117;-0.059;0.714;-0.316;0.199;-0.136;0;0;0;-0.78;0.052;0;0.794;-0.24;-0.265;0.425;0;0;-0.714;0.174;-0.045;0.716;-0.276;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.063;0.012;0;0;0;0;0;0;0;-0.055;0.044;-0.09;-0.055;0.053;-0.084;0;0;0;0;0;0;0.478;0.057;-0.102;0.996;0.381;0.214;0.151;0;0.532;0.117;-0.059;0.714;-0.316;0.199;-0.135;0;0;0;-0.78;0.052;-0.001;0.795;-0.24;-0.265;0.425;0;0;-0.715;0.174;-0.045;0.715;-0.276;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.062;0.011;0.001;0;0;0;0;0;0;-0.056;0.045;-0.084;-0.057;0.054;-0.078;0;0;0;0;0;0;0.478;0.057;-0.103;0.995;0.381;0.215;0.151;0;0.532;0.116;-0.058;0.714;-0.315;0.199;-0.135;0;0;0;-0.78;0.053;-0.003;0.792;-0.243;-0.265;0.425;0;0;-0.715;0.174;-0.046;0.715;-0.277;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.062;0.011;0.001;0;0;0;0;0;0;-0.056;0.045;-0.081;-0.056;0.054;-0.075;0;0;0;0;0;0;0.478;0.057;-0.103;0.994;0.381;0.215;0.151;0;0.532;0.116;-0.058;0.714;-0.315;0.198;-0.135;0;0;0;-0.78;0.053;-0.004;0.791;-0.244;-0.265;0.425;0;0;-0.715;0.174;-0.047;0.715;-0.277;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.062;0.011;0.001;0;0;0;0;0;0;-0.055;0.043;-0.076;-0.055;0.051;-0.071;0;0;0;0;0;0;0.478;0.057;-0.103;0.993;0.381;0.214;0.151;0;0.532;0.116;-0.057;0.715;-0.315;0.198;-0.135;0;0;0;-0.78;0.054;-0.006;0.787;-0.247;-0.266;0.425;0;0;-0.715;0.174;-0.048;0.715;-0.277;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.059;0.001;0.001;0;0;0;0;0;0;0.024;0.079;0.21;0.023;0.057;0.218;0;0;0;0;0;0;0.487;0.138;-0.124;1;0.135;-0.002;-0.17;0;0.5;0.039;-0.04;0.769;-0.202;0.137;-0.099;0;0;0;-0.755;0.141;0.08;0.743;0.134;0.143;0.295;0;0;-0.774;0.141;0.03;0.756;-0.17;-0.152;-0.572;-1;-0.83;0.336;0.487;0.229;-0.736;0.109;0.433;-0.79;-0.03;-0.89;-0.164;-0.833;-1;-0.83;-0.133;-0.793;-0.855;-0.953;-0.421;-1;-1;0.048;0.34;-0.632;0.198;-0.656;-0.53;0.147;0.994;-0.238;-0.687;-0.554;-0.442;-0.727;-0.319;-0.571;0.526;-0.292;-0.412
-0.062;0.01;0.002;0;0;0;0;0;0;-0.057;0.044;-0.068;-0.057;0.051;-0.063;0;0;0;0;0;0;0.479;0.057;-0.103;0.992;0.381;0.213;0.149;0;0.532;0.116;-0.057;0.715;-0.316;0.198;-0.134;0;0;0;-0.781;0.055;-0.011;0.779;-0.253;-0.266;0.424;0;0;-0.715;0.173;-0.05;0.714;-0.277;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
-0.061;-0.001;0;0;0;0;0;0;0;0.036;0.038;0.259;0.033;0.01;0.262;0;0;0;0;0;0;0.477;0.132;-0.12;1;0.381;0.209;0.14;0;0.497;0.042;-0.045;0.771;-0.3;0.198;-0.136;0;0;0;-0.768;0.126;0.039;0.758;-0.338;-0.269;0.422;0;0;-0.751;0.143;-0.027;0.736;-0.167;-0.152;-0.572;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-1;0.048;0.34;-0.632;0.198;-0.656;-0.53;0.147;0.994;-0.238;-0.687;-0.554;-0.442;-0.727;-0.319;-0.571;0.526;-0.292;-0.412
-0.061;-0.001;0;0;0;0;0;0;0;0.036;0.039;0.258;0.034;0.011;0.261;0;0;0;0;0;0;0.477;0.132;-0.12;1;0.381;0.209;0.141;0;0.497;0.042;-0.045;0.771;-0.3;0.198;-0.136;0;0;0;-0.768;0.126;0.039;0.758;-0.338;-0.269;0.422;0;0;-0.751;0.143;-0.027;0.736;-0.167;-0.152;-0.572;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-1;0.048;0.34;-0.632;0.198;-0.656;-0.53;0.147;0.994;-0.238;-0.687;-0.554;-0.442;-0.727;-0.319;-0.571;0.526;-0.292;-0.412
-0.062;0.009;0.002;0;0;0;0;0;0;-0.064;0.045;-0.063;-0.064;0.051;-0.058;0;0;0;0;0;0;0.479;0.058;-0.103;0.993;0.381;0.21;0.147;0;0.532;0.116;-0.057;0.715;-0.316;0.198;-0.134;0;0;0;-0.781;0.056;-0.018;0.771;-0.259;-0.267;0.424;0;0;-0.716;0.172;-0.049;0.714;-0.277;0.386;0.161;-1;-0.767;0.359;0.536;-0.159;0.015;0.264;0.401;-0.865;1;-0.508;-0.147;-0.64;-1;-0.266;-0.027;-0.665;-1;-0.404;-0.31;-1;-0.956;0.54;0.714;-0.539;0.307;-0.308;0.221;-0.785;1;-0.949;-0.251;-1;-1;-1;-0.334;-1;0.143;-0.845;-0.374
